post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
191960375.113,,false,,,newsletter,everyone,,,
191176676.figma-console-mcp,2026-03-13T07:59:00.000Z,true,,,newsletter,everyone,S Figma Console MCP ovládnete návrh UI prostřednictvím umělé inteligence,"Figma Console MCP je lokální server pro Model Context Protocol, který umožňuje agentům umělé inteligence číst, exportovat, ladit a v měnit soubory ve Figmě.",
190496423.112,,false,,,newsletter,everyone,,,
190496306.cynefin,2026-03-12T06:59:00.000Z,true,,,newsletter,everyone,Rámec Cynefin,"Rámec pro porozumění situaci, který pomáhá určit, zda webový problém vyžaduje postup, expertní analýzu, experiment, nebo krizový zásah. Cy",
190332703.111,2026-03-21T06:59:41.007Z,true,2026-03-21T06:59:41.162Z,2026-03-21T06:59:41.162Z,newsletter,everyone,Lidé nestojí o efektivitu. Chtějí příjemně trávit čas. ŘSoW#111,"Prvky UX a praktický průvodce pro sólisty. Pencil, Stitch a Claude – AI proniká do designové rutiny. UX audit bez dat a analytiky? Vývoj hlasového rozhraní. Jak navrhovat experimenty. Stavy tlačítek.",
190330981.confirmation-bias,2026-03-11T06:59:35.571Z,true,,,newsletter,everyone,Konfirmační zkreslení,"Konfirmační zkreslení vede k vyhledávání a vykládání informace způsobem, který potvrzuje dosavadní přesvědčení. Kognitivní zkreslení vysvětluje časté chyby při rozhodování, interpretaci a hodnocení.",
190328708.jef-raskin,2026-03-10T06:59:31.542Z,true,,,newsletter,everyone,Jef Raskin a myšlenka humánního rozhraní,"Zastával názor, že humánní rozhraní znamená způsob navrhování počítačů, který vychází z lidského myšlení. Počítač se přizpůsobuje člověku, ne člověk počítači.",
190275026.ai-agent,2026-03-02T06:59:00.000Z,true,,,newsletter,everyone,AI agent,"Software, který dokáže plánovat a vykonávat úkoly napříč digitálními systémy tím, že pracuje s nástroji, weby a daty, místo aby pouze generoval odpovědi.",
188122868.lucy-suchman,2026-02-12T06:59:00.000Z,true,,,newsletter,everyone,Lucy Suchman a situované jednání,"Badatelka, která zásadně proměnila obor human-computer interaction tím, že ukázala, že lidské jednání je vždy situované – a že technologie zároveň přerozdělují odpovědnost.",
187622698.chunking,2026-02-11T06:59:00.000Z,true,,,newsletter,everyone,Kouskování,"Strukturování informací a úkolů do smysluplných celků, které snižují kognitivní zátěž a zároveň zachovávají přehlednost a orientaci.",
187486902.ui-kit,2026-02-10T06:59:00.000Z,true,,,newsletter,everyone,UI kit,"Sada znovupoužitelných prvků uživatelského rozhraní, která sjednocuje vizuální a interakční rozhodnutí s cílem urychlit návrh, vývoj a dlouhodobou údržbu.",
187285047.design-spells,2026-02-06T06:59:00.000Z,true,,,newsletter,everyone,Design Spells: živý archiv kouzel v rozhraních,"Design Spells je sbírka mikro-interakcí a detailů uživatelského rozhraní, které dávají přednost potěšení před metrikami – a nabízejí designérům vzácný zdroj inspirace založený na emočním designu.",
186950166.white-space,2026-02-05T06:59:00.000Z,true,,,newsletter,everyone,Negativní prostor,"Záměrná absence obsahu, která strukturuje rozhraní, snižuje kognitivní zátěž a zvyšuje srozumitelnost, přístupnost a vnímanou kvalitu.",
186778841.george-miller,2026-02-04T06:59:13.512Z,true,,,newsletter,everyone,"George A. Miller a lidské limity, na nichž stojí použitelnost","Americký kognitivní psycholog, který ukázal, že lidská omezení nejsou překážkou návrhu, ale klíčem k pochopení a respektování lidského myšlení.",
186775656.110,2026-03-09T06:59:22.343Z,true,2026-03-09T06:59:22.514Z,2026-03-09T06:59:22.514Z,newsletter,everyone,Budeme navrhovat už jen přes AI? ŘSoW#110,Na stránku patří jen jeden nadpis H1. Naslouchejte prvním uživatelům. Jak Figma změnila navrhování. AI místo produktového týmu. Design je zpochybňování základů. Nejlepší návrhy fungují bez návodu. ,
186670920.kpi,2026-02-03T06:59:17.082Z,true,,,newsletter,everyone,Klíčové ukazatele výkonnosti,"Ukazatel, který slouží k posouzení postupu směrem k cíli a k rozhodování o tom, co změnit, upřednostnit nebo ukončit.",
186560186.matomo,2026-01-30T06:59:00.000Z,true,,,newsletter,everyone,Matomo – webová analytika,"Open-source analytická platforma, která klade důraz na vlastnictví dat a ochranu soukromí.",
186554750.douglas-engelbart,2026-01-29T06:59:00.000Z,true,,,newsletter,everyone,Douglas Engelbart: vizionář s myší,"Americký inženýr, který neusiloval o vynalézání jednotlivých zařízení, ale o systematické posílení lidské schopnosti myslet, spolupracovat a řešit složité problémy pomocí počítačů.",
186550783.blank-page-syndrome,2026-01-28T06:59:00.000Z,true,,,newsletter,everyone,Syndrom prázdné stránky,"Opakované selhání zahájení práce, při němž nadměrná volnost, předčasné hodnocení a vnímaná důležitost brání prvnímu smysluplnému kroku.",
186407566.core-web-vitals,2026-01-27T06:59:00.000Z,true,,,newsletter,everyone,Core Web Vitals,"Standard výkonu webu založený na reálné uživatelské zkušenosti. Nehodnotí abstraktní rychlost, ale konkrétní problémy: pozdní zobrazení obsahu, pomalé reakce rozhraní a nestabilní rozvržení stránky.",
186177815.n8n,2026-01-23T06:59:00.000Z,true,,,newsletter,everyone,"N8n je no-code automatizace, kterou můžete vlastnit","Platforma pro automatizaci, která spojuje vizuální tvorbu bez programování s kontrolou na úrovni vývojářských nástrojů a je určena pro automatizaci, již lze dlouhodobě vlastnit a rozvíjet.",
186177776.109,2026-02-09T06:59:00.000Z,true,2026-02-09T16:10:57.074Z,2026-02-09T16:10:57.074Z,newsletter,everyone,Ověřování věku na webu: od checkboxu k infrastruktuře. ŘSoW#109,Sdílejte vhled strukturovaně. Využití zvuku na webu. Jak myslí designéři? AI je zrcadlem minulosti. Ostylujte zvýrazněný text. Nadčasové knihy o designu. Barevné palety pro Figmu.,
186172117.no-code,2026-01-22T06:59:00.000Z,true,,,newsletter,everyone,No‑code a low‑code,"Nástroje pro rychlejší tvorbu webů a aplikací, které nahrazují část programování vizuálním nastavováním a přesouvají rizika z implementace do oblasti správy, architektury a dlouhodobé udržitelnosti.",
185908563.brenda-laurel,2026-01-21T06:59:00.000Z,true,,,newsletter,everyone,Brenda Laurel a zrod interakce jako prožitku,"Posunula HCI od mechaniky rozhraní k prožité zkušenosti a zásadně ovlivnila, jak UX chápe agency, zapojení a význam.",
